,Price,Product,id,Text,Star,Text_Clean,Standardized_Text,Padded_Text,Sentiment_Prediction_Raw,Sentiment_Prediction
9033,6499,Sennheiser CX 6.0BT,8,"4 stars for the treble aspect! Not for bass lovers. This headphone is not suggested if you listen to EDMs or techno genre.
",4,stars for the treble aspect not for bass lovers this headphone is not suggested if you listen to edms or techno genre,star trebl aspect not bass lover headphon not suggest listen edm techno genr,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0 867   1   6   1  58]",0,bad
11376,6499,Sennheiser CX 6.0BT,8,"Good product sound is to goodReally enjoy good quality of sound.
",4,good product sound is to goodreally enjoy good quality of sound,good product sound goodreal enjoy good qualiti sound,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   2   5   3 344   2   3]",1,good
9603,6499,Sennheiser CX 6.0BT,8,"The Product Is of utmost quality and the sound is absolutely mesmerising. Base and treble are perfect with none overlapping the other.A little disappointed with amazon delivery as i opted for same day delivery which didnt happen .
",5,the product is of utmost quality and the sound is absolutely mesmerising base and treble are perfect with none overlapping the other a little disappointed with amazon delivery as i opted for same day delivery which didnt happen,product utmost qualiti sound absolut mesmeris base trebl perfect none overlap littl disappoint amazon deliveri opt day deliveri didnt happen,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   5   3 127 154 480  65  31 186 369]",1,good
12697,2000,JBL T110BT,10,"BATTERY LIFEThese JBL BT Earphones has bad battery life, I have to charge them everyday and my usage is 3-4 hours.
",4,battery lifethese jbl bt earphones has bad battery life i have to charge them everyday and my usage is hours,batteri lifethes jbl bt earphon bad batteri life charg everyday usag hour,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0  47 313  25  35 972]",2,neutral
8269,6499,Sennheiser CX 6.0BT,8,"Pros: This is the best earphone, supported my redmi note 3, build quality is solid, has 3 types of earbuds. go for it if its on sale.Cons: Nothing, these are awesome, go for it without any second thought.
",5,pros this is the best earphone supported my redmi note build quality is solid has types of earbuds go for it if its on sale cons nothing these are awesome go for it without any second thought,pro best earphon support redmi note build qualiti solid type earbud go sale con noth awesom go without second thought,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0  32 467  93 784  46 353  46 202 216 387]",1,good
10398,6499,Sennheiser CX 6.0BT,8,"Audio adapter not working and returned
",1,audio adapter not working and returned,audio adapt not work return,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 133   1]",0,bad
14108,2000,JBL T110BT,10,"These earphones are really good works great and even the sound quality is very good. Value for money product..
",4,these earphones are really good works great and even the sound quality is very good value for money product,earphon realli good work great even sound qualiti good valu money product,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 21 27  3  2 42  5]",1,good
7228,6499,Sennheiser CX 6.0BT,8,"Worst.  For 1700 this is a crap. Can think to buy for Rs. 699. Poor bass genuinely there is no bass.  And there is no option for return . Replacement of the same product nonly available. Disappointed totally.
",1,worst for this is a crap can think to buy for rs poor bass genuinely there is no bass and there is no option for return replacement of the same product nonly available disappointed totally,worst crap think buy rs poor bass genuin bass option return replac product nonli avail disappoint total,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0  66 632 140  15 161  40   6 437   6 437 162  60   5]",0,bad
10023,6499,Sennheiser CX 6.0BT,8,"I seen good review for this product, so I enhanced my budget a bit more to bought this. But the experience was not as good as expected. However the sound quality is clear but bass is not good.
",3,i seen good review for this product so i enhanced my budget a bit more to bought this but the experience was not as good as expected however the sound quality is clear but bass is not good,seen good review product enhanc budget bit bought experi not good expect howev sound qualiti clear bass not good,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0 575   2 125   5 233 113  57   1   2   3  96   6   1   2]",1,good
3486,1399,boAt Rockerz 255,1,"The sound quality is horrible, too basy heavy. Connectivity issues are also quite persistent
",2,the sound quality is horrible too basy heavy connectivity issues are also quite persistent,sound qualiti horribl basi heavi connect issu also quit persist,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3 20]",1,good
